id;parroquia;id_canton
640;SAN RAFAEL;106
641;SELVA ALEGRE (CAB.EN SAN MIGUEL DE PAMPLONA);106
642;CHUGÁ;107
643;MARIANO ACOSTA;107
644;PIMAMPIRO;107
645;SAN FRANCISCO DE SIGSIPAMBA;107
646;CAHUASQUÍ;108
647;LA MERCED DE BUENOS AIRES;108
648;PABLO ARENAS;108
649;SAN BLAS;108
650;TUMBABIRO;108
651;URCUQUÍ CABECERA CANTONAL;108
652;CARIAMANGA;109
653;CHILE;109
654;COLAISACA;109
655;EL LUCERO;109
656;SAN VICENTE;109
657;SANGUILLÍN;109
658;UTUANA;109
659;CATAMAYO;110
660;CATAMAYO (LA TOMA);110
661;EL TAMBO;110
662;GUAYQUICHUMA;110
663;SAN JOSÉ;110
664;SAN PEDRO DE LA BENDITA;110
665;ZAMBI;110
666;12 DE DICIEMBRE (CAB. EN ACHIOTES);111
667;CELICA;111
668;CHAQUINAL;111
669;CRUZPAMBA (CAB. EN CARLOS BUSTAMANTE);111
670;PINDAL (FEDERICO PÁEZ);111
671;POZUL (SAN JUAN DE POZUL);111
672;SABANILLA;111
673;TNTE. MAXIMILIANO RODRÍGUEZ LOAIZA;111
674;AMARILLOS;112
675;BUENAVISTA;112
676;CHAGUARPAMBA;112
677;EL ROSARIO;112
678;SANTA RUFINA;112
679;27 DE ABRIL (CAB. EN LA NARANJA);113
680;AMALUZA;113
681;BELLAVISTA;113
682;EL AIRO;113
683;EL INGENIO;113
684;JIMBURA;113
685;SANTA TERESITA;113
686;CHANGAIMINA (LA LIBERTAD);114
687;FUNDOCHAMBA;114
688;GONZANAMÁ;114
689;NAMBACOLA;114
690;PURUNUMA (EGUIGUREN);114
691;QUILANGA (LA PAZ);114
692;SACAPALCA;114
693;SAN ANTONIO DE LAS ARADAS (CAB. EN LAS ARADAS);114
694;CHANTACO;115
695;CHUQUIRIBAMBA;115
696;EL CISNE;115
697;EL SAGRARIO;115
698;GUALEL;115
699;JIMBILLA;115
700;LOJA;115
701;MALACATOS (VALLADOLID);115
702;QUINARA;115
703;SAN LUCAS;115
704;SAN PEDRO DE VILCABAMBA;115
705;SAN SEBASTIÁN;115
706;SANTIAGO;115
707;SUCRE;115
708;TAQUIL (MIGUEL RIOFRÍO);115
709;VALLE;115
710;VILCABAMBA (VICTORIA);115
711;YANGANA (ARSENIO CASTILLO);115
712;GENERAL ELOY ALFARO (SAN SEBASTIÁN);116
713;LA VICTORIA;116
714;LARAMA;116
715;MACARÁ;116
716;MACARÁ (MANUEL ENRIQUE RENGEL SUQUILANDA);116
717;SABIANGO (LA CAPILLA);116
718;LA TINGUE;117
719;OLMEDO;117
720;CANGONAMÁ;118
721;CASANGA;118
722;CATACOCHA;118
723;GUACHANAMÁ;118
724;LA TINGUE;118
725;LAURO GUERRERO;118
726;LOURDES;118
727;OLMEDO (SANTA BÁRBARA);118
728;ORIANGA;118
729;SAN ANTONIO;118
730;YAMANA;118
731;12 DE DICIEMBRE (CAB.EN ACHIOTES);119
732;CHAQUINAL;119
733;MILAGROS;119
734;PINDAL;119
735;ALAMOR;120
736;CIANO;120
737;EL ARENAL;120
738;EL LIMO (MARIANA DE JESÚS);120
739;MERCADILLO;120
740;VICENTINO;120
741;FUNDOCHAMBA;121
742;QUILANGA;121
743;SAN ANTONIO DE LAS ARADAS (CAB. EN LAS ARADAS);121
744;EL PARAÍSO DE CELÉN;122
745;EL TABLÓN;122
746;LLUZHAPA;122
747;MANÚ;122
748;SAN ANTONIO DE QUMBE (CUMBE);122
749;SAN PABLO DE TENTA;122
750;SAN SEBASTIÁN DE YÚLUC;122
751;SARAGURO;122
752;SELVA ALEGRE;122
753;SUMAYPAMBA;122
754;URDANETA (PAQUISHAPA);122
755;NUEVA FÁTIMA;123
756;SOZORANGA;123
757;TACAMOROS;123
758;BOLASPAMBA;124
759;GARZAREAL;124
760;LIMONES;124
761;MANGAHURCO (CAZADEROS);124
762;PALETILLAS;124
763;ZAPOTILLO;124
764;BABA;125
765;GUARE;125
766;ISLA DE BEJUCAL;125
767;BABAHOYO;126
768;BARREIRO;126
769;BARREIRO (SANTA RITA);126
770;CARACOL;126
771;CLEMENTE BAQUERIZO;126
772;DR. CAMILO PONCE;126
773;EL SALTO;126
774;FEBRES CORDERO (LAS JUNTAS);126
775;LA UNIÓN;126
776;PIMOCHA;126
777;11 DE OCTUBRE;127
778;7 DE AGOSTO;127
779;PATRICIA PILAR;127
780;SAN JACINTO DE BUENA FÉ;127
781;MOCACHE;128
782;MONTALVO;129
783;PALENQUE;130
784;PUEBLOVIEJO;131
785;PUERTO PECHICHE;131
786;SAN JUAN;131
787;24 DE MAYO;132
788;BUENA FÉ;132
789;GUAYACÁN;132
790;LA ESPERANZA;132
791;MOCACHE;132
792;NICOLÁS INFANTE DÍAZ;132
793;QUEVEDO;132
794;SAN CAMILO;132
795;SAN CARLOS;132
796;SAN CRISTÓBAL;132
797;SAN JOSÉ;132
798;SIETE DE OCTUBRE;132
799;VALENCIA;132
800;VENUS DEL RÍO QUEVEDO;132
801;VIVA ALFARO;132
802;QUINSALOMA;133
803;CATARAMA;134
804;RICAURTE;134
805;VALENCIA;135
806;10 DE NOVIEMBRE;136
807;CHACARITA;136
808;LOS ÁNGELES;136
809;QUINSALOMA;136
810;VENTANAS;136
811;ZAPOTAL;136
812;ANTONIO SOTOMAYOR (CAB. EN PLAYAS DE VINCES);137
813;PALENQUE;137
814;VINCES;137
815;ARQ. SIXTO DURÁN BALLÉN;138
816;BELLAVISTA;138
817;NOBOA;138
818;SUCRE;138
819;CALCETA;139
820;MEMBRILLO;139
821;QUIROGA;139
822;BOYACÁ;140
823;CANUTO;140
824;CHIBUNGA;140
825;CHONE;140
826;CONVENTO;140
827;ELOY ALFARO;140
828;RICAURTE;140
829;SAN ANTONIO;140
830;SANTA RITA;140
831;4 DE DICIEMBRE;141
832;EL CARMEN;141
833;SAN PEDRO DE SUMA;141
834;WILFRIDO LOOR MOREIRA (MAICITO);141
835;FLAVIO ALFARO;142
836;SAN FRANCISCO DE NOVILLO (CAB. EN;142
837;ZAPALLO;142
838;JAMA;143
839;JARAMIJÓ;144
840;AMÉRICA;145
841;DR. MIGUEL MORÁN LUCIO;145
842;EL ANEGADO (CAB. EN ELOY ALFARO);145
843;JIPIJAPA;145
844;JULCUY;145
845;LA UNIÓN;145
846;MACHALILLA;145
847;MANUEL INOCENCIO PARRALES Y GUALE;145
848;MEMBRILLAL;145
849;PEDRO PABLO GÓMEZ;145
850;PUERTO DE CAYO;145
851;PUERTO LÓPEZ;145
852;SAN LORENZO DE JIPIJAPA;145
853;JUNÍN;146
854;ELOY ALFARO;147
855;LOS ESTEROS;147
856;MANTA;147
857;SAN LORENZO;147
858;SAN MATEO;147
859;SANTA MARIANITA (BOCA DE PACOCHE);147
860;TARQUI;147
861;ANIBAL SAN ANDRÉS;148
862;EL COLORADO;148
863;GENERAL ELOY ALFARO;148
864;JARAMIJÓ;148
865;LA PILA;148
866;LEONIDAS PROAÑO;148
867;MONTECRISTI;148
868;OLMEDO;149
869;CAMPOZANO (LA PALMA DE PAJÁN);150
870;CASCOL;150
871;GUALE;150
872;LASCANO;150
873;PAJÁN;150
874;10 DE AGOSTO;151
875;ATAHUALPA;151
876;COJIMÍES;151
877;PEDERNALES;151
878;BARRAGANETE;152
879;PICHINCHA;152
880;SAN SEBASTIÁN;152
881;12 DE MARZO;153
